station_eng,station_canto,line,lat,long,location_map_url,station_map_url
Nam Cheong,南昌,Tuen Ma,22.3267772,114.1536799,https://www.mtr.com.hk/archive/ch/services/maps/nac.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/nac.pdf
Austin,柯士甸,Tuen Ma,22.3052927,114.1661027,https://www.mtr.com.hk/archive/ch/services/maps/aus.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/aus.pdf
East Tsim Sha Tsui,尖東,Tuen Ma,22.295263,114.174586,https://www.mtr.com.hk/archive/ch/services/maps/ets.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ets.pdf
Hung Hom,紅磡,Tuen Ma,22.3027389,114.1821136,https://www.mtr.com.hk/archive/ch/services/maps/huh.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/huh.pdf
Ho Man Tin,何文田,Tuen Ma,22.3093594,114.1827294,https://www.mtr.com.hk/archive/ch/services/maps/hom.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/hom.pdf
To Kwa Wan,土瓜灣,Tuen Ma,22.3181169,114.1878494,https://www.mtr.com.hk/archive/ch/services/maps/tkw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tkw.pdf
Sung Wong Toi,宋皇臺,Tuen Ma,22.32591,114.1913,https://www.mtr.com.hk/archive/ch/services/maps/suw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/suw.pdf
Kai Tak,啟德,Tuen Ma,22.33057,114.199549,https://www.mtr.com.hk/archive/ch/services/maps/kat.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kat.pdf
Diamond Hill,鑽石山,Tuen Ma,22.340017,114.201698,https://www.mtr.com.hk/archive/ch/services/maps/dih.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/dih.pdf
Hin Keng,顯徑,Tuen Ma,22.363834,114.17079,https://www.mtr.com.hk/archive/ch/services/maps/hik.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/hik.pdf
Tai Wai,大圍,Tuen Ma,22.373284,114.178152,https://www.mtr.com.hk/archive/ch/services/maps/taw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/taw.pdf
Che Kung Temple,車公廟,Tuen Ma,22.37476,114.185953,https://www.mtr.com.hk/archive/ch/services/maps/ckt.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ckt.pdf
Sha Tin Wai,沙田圍,Tuen Ma,22.377823,114.197615,https://www.mtr.com.hk/archive/ch/services/maps/stw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/stw.pdf
City One,第一城,Tuen Ma,22.382832,114.203779,https://www.mtr.com.hk/archive/ch/services/maps/cio.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/cio.pdf
Shek Mun,石門,Tuen Ma,22.387694,114.208349,https://www.mtr.com.hk/archive/ch/services/maps/shm.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/shm.pdf
Tai Shui Hang,大水坑,Tuen Ma,22.408425,114.222716,https://www.mtr.com.hk/archive/ch/services/maps/tsh.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tsh.pdf
Heng On,恆安,Tuen Ma,22.41732,114.2257,https://www.mtr.com.hk/archive/ch/services/maps/heo.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/heo.pdf
Ma On Shan,馬鞍山,Tuen Ma,22.4276756,114.2402751,https://www.mtr.com.hk/archive/ch/services/maps/mos.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/mos.pdf
Wu Kai Sha,烏溪沙,Tuen Ma,22.4287258,114.2440697,https://www.mtr.com.hk/archive/ch/services/maps/wks.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/wks.pdf
Hong Kong,香港,Airport Express,22.284377,114.158056,https://www.mtr.com.hk/archive/ch/services/maps/hok.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/hok.pdf
Kowloon,九龍,Airport Express,22.304306,114.161475,https://www.mtr.com.hk/archive/ch/services/maps/kow.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kow.pdf
Tsing Yi,青衣,Airport Express,22.3584978,114.107672,https://www.mtr.com.hk/archive/ch/services/maps/tsy.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tsy.pdf
Airport,機場,Airport Express,22.3158675,113.9365616,https://www.mtr.com.hk/archive/ch/services/maps/air.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/air.pdf
AsiaWorld-Expo,博覽館,Airport Express,22.321343,113.943288,https://www.mtr.com.hk/archive/ch/services/maps/awe.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/awe.pdf
